FSA,lat_coord,lon_coord
A0A,47.1801,-53.186
A0B,47.3767,-53.7027
A0C,48.3498,-53.9337
A0E,47.5614,-54.7788
A0G,48.8512,-54.7326
A0H,48.4266,-56.2569
A0J,49.471,-56.0441
A0K,52.0788,-57.2052
A0L,49.1092,-58.0425
A0M,47.803,-58.389
A0N,48.1168,-57.8407
A0P,54.9537,-61.6008
A0R,53.5399,-65.1117
A1A,47.6045,-52.7251
A1B,47.5691,-52.7958
A1C,47.5649,-52.7167
A1E,47.5378,-52.752
A1G,47.5065,-52.7616
A1H,47.4516,-52.8921
A1K,47.6727,-52.7484
A1L,47.5342,-52.8838
A1M,47.6254,-52.8377
A1N,47.5195,-52.8123
A1S,47.4371,-52.7396
A1V,48.9577,-54.5896
A1W,47.5095,-52.9441
A1X,47.4777,-53.0288
A1Y,47.7346,-53.2799
A2A,48.9488,-55.6334
A2B,48.9657,-55.6899
A2H,48.9168,-57.7955
A2N,48.5512,-58.5723
A2V,52.9591,-66.9369
A5A,48.2181,-53.7767
A8A,49.1627,-57.4893
B0C,46.6398,-60.5471
B0E,46.086,-61.0393
B0H,45.3478,-61.6472
B0J,44.853,-63.1574
B0K,45.5874,-62.8433
B0L,45.7291,-64.2953
B0M,45.5452,-64.021
B0N,45.0812,-63.465
B0P,45.0027,-64.6568
B0R,44.6119,-64.7564
B0S,44.6664,-65.2907
B0T,44.0522,-65.123
B0V,44.5228,-65.9792
B0W,44.0712,-65.7427
B1A,46.1898,-59.9531
B1B,46.1186,-59.9425
B1C,45.9478,-59.974
B1E,46.1845,-60.0166
B1G,46.2074,-60.0171
B1H,46.216,-60.0838
B1J,45.938,-60.4778
B1K,45.899,-60.2541
B1L,46.0642,-60.27
B1M,46.1491,-60.0788
B1N,46.1985,-60.1583
B1P,46.1131,-60.1312
B1R,46.125,-60.2594
B1S,46.102,-60.2181
B1T,45.9957,-60.6319
B1V,46.2431,-60.2338
B1W,45.96,-60.6188
B1X,46.2119,-60.5363
B1Y,46.201,-60.3775
B2A,46.141,-60.3234
B2C,45.9897,-60.8791
B2E,45.7626,-60.5157
B2G,45.6306,-62.0271
B2H,45.5383,-62.5754
B2J,45.6934,-60.3941
B2N,45.3513,-63.256
B2R,44.7649,-63.5547
B2S,45.0558,-63.5442
B2T,44.8844,-63.4819
B2V,44.6534,-63.4743
B2W,44.6696,-63.5084
B2X,44.704,-63.5339
B2Y,44.6668,-63.5496
B2Z,44.7028,-63.3992
B3A,44.7016,-63.5802
B3B,44.6949,-63.6082
B3E,44.76,-63.3443
B3G,44.6232,-63.4654
B3H,44.6352,-63.5825
B3J,44.6424,-63.5716
